UserId,SPH,UOM,UOC,PDF
62f3575ab51f8a773cde8ed1,179,61.6,67.4,0
62f3575ab51f8a773cde8ed1,89,3.2,8.1,0
62f3575ab51f8a773cde8ed1,94,1.9,7.0,0
62f3575ab51f8a773cde8ed1,64,6.7,6.7,0
62f3575ab51f8a773cde8ed1,115,44.4,40.3,0
62f3575ab51f8a773cde8ed1,134,33.7,48.1,0
62f3575ab51f8a773cde8ed1,137,32.5,37.4,0
62f3575ab51f8a773cde8ed1,169,64.9,73.1,0
62f3575ab51f8a773cde8ed1,139,38.3,40.3,0
62f3575ab51f8a773cde8ed1,81,13.1,4.0,0
62f3575ab51f8a773cde8ed1,61,17.3,6.0,0
62f3575ab51f8a773cde8ed1,188,70.1,65.6,0
62f3575ab51f8a773cde8ed1,73,19.9,4.3,0
62f3575ab51f8a773cde8ed1,200,67.1,61.8,0
62f3575ab51f8a773cde8ed1,91,6.8,23.5,0
62f3575ab51f8a773cde8ed1,178,54.4,56.0,0
62f3575ab51f8a773cde8ed1,94,7.0,7.8,0
62f3575ab51f8a773cde8ed1,163,55.9,59.6,0
62f3575ab51f8a773cde8ed1,52,5.8,16.3,0
62f3575ab51f8a773cde8ed1,180,56.4,73.4,0
62f3575ab51f8a773cde8ed1,104,38.8,27.3,0
62f3575ab51f8a773cde8ed1,197,64.4,59.5,0
62f3575ab51f8a773cde8ed1,69,5.3,20.7,0
62f3575ab51f8a773cde8ed1,100,1.6,17.4,0
62f3575ab51f8a773cde8ed1,157,60.1,50.2,0
62f3575ab51f8a773cde8ed1,171,57.9,73.0,0
62f3575ab51f8a773cde8ed1,186,66.6,62.7,0
62f3575ab51f8a773cde8ed1,117,45.4,47.0,0
62f3575ab51f8a773cde8ed1,166,51.4,54.5,0
62f3575ab51f8a773cde8ed1,196,52.3,57.7,0
62f3575ab51f8a773cde8ed1,165,72.4,58.4,0
62f3575ab51f8a773cde8ed1,114,43.2,28.7,0
62f3575ab51f8a773cde8ed1,99,11.7,8.0,0
62f3575ab51f8a773cde8ed1,135,43.9,33.8,0
62f3575ab51f8a773cde8ed1,61,1.6,3.9,0
62f3575ab51f8a773cde8ed1,86,15.1,9.0,0
62f3575ab51f8a773cde8ed1,72,4.6,7.3,0
62f3575ab51f8a773cde8ed1,52,14.4,7.1,0
62f3575ab51f8a773cde8ed1,149,25.7,48.8,0
62f3575ab51f8a773cde8ed1,126,46.6,39.2,0
62f3575ab51f8a773cde8ed1,75,19.3,14.8,0
62f3575ab51f8a773cde8ed1,119,37.3,30.8,0
62f3575ab51f8a773cde8ed1,107,37.9,43.1,0
62f3575ab51f8a773cde8ed1,133,31.0,29.1,0
